DevType,EdLevel,YearsCodePro,LanguageWorkedWith,ConvertedComp
"Developer, QA or test","Professional degree (JD, MD, etc.)",3,Dart;HTML/CSS;JavaScript;PHP;Ruby;SQL,34543.0
Scientist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,C++;C#;JavaScript;Python;SQL,40459.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Objective-C;SQL,45803.0
"Developer, front-end",Some college/university study without earning a degree,11,C#;HTML/CSS;JavaScript;SQL;TypeScript,45803.0
DevOps specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Bash/Shell/PowerShell;Python;SQL,57254.0
Designer,Some college/university study without earning a degree,24,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;SQL,87789.0
System administrator,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",15,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL,95423.0
"Developer, front-end",Some college/university study without earning a degree,7,Bash/Shell/PowerShell;C;C++;C#;Clojure;HTML/CSS;Java;JavaScript;Python;Scala;SQL;VBA,61071.0
Data or business analyst,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2,C#;HTML/CSS;JavaScript;SQL,44276.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",7,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL,64124.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",12,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Ruby,115.0
DevOps specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,76339.0
Engineering manager,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL;Other(s):,53437.0
System administrator,Associate degree,8,C;C++;HTML/CSS;Java;JavaScript;TypeScript,45803.0
Engineering manager,Some college/university study without earning a degree,4,HTML/CSS;JavaScript;Ruby;TypeScript,68705.0
"Developer, QA or test","Bachelor’s degree (BA, BS, B.Eng., etc.)",18,Bash/Shell/PowerShell;C#;HTML/CSS;PHP;SQL;TypeScript;VBA,44276.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",7,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL,53819.0
DevOps specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;Python,94000.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;VBA,64888.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",8,Bash/Shell/PowerShell;Java;JavaScript;Kotlin;TypeScript,114508.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,57254.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",1,Bash/Shell/PowerShell;Go;Java;Python,34352.0
"Developer, mobile","Bachelor’s degree (BA, BS, B.Eng., etc.)",17,Java;Kotlin,127485.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",9,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,70995.0
DevOps specialist,Some college/university study without earning a degree,4,Bash/Shell/PowerShell;Elixir;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;Swift,91606.0
Scientist,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",32,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;Other(s):,114508.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;JavaScript;PHP;SQL;VBA,34352.0
"Developer, full-stack",,1,HTML/CSS;JavaScript;SQL,37406.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",4,C++;C#;HTML/CSS;JavaScript,83972.0
"Developer, embedded applications or devices","Bachelor’s degree (BA, BS, B.Eng., etc.)",8,Swift;Other(s):,78629.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",23,Bash/Shell/PowerShell;C#;Dart;Java;JavaScript;Ruby;SQL,68705.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Java,53437.0
Product manager,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",18,Bash/Shell/PowerShell;C#;Java;JavaScript;Python,106874.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",4,C;C++;C#;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;SQL;TypeScript;VBA,53437.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",7,,34368.0
Designer,I never completed any formal education,13,HTML/CSS;JavaScript,80155.0
"Developer, front-end",Some college/university study without earning a degree,4,C++;C#;HTML/CSS;JavaScript;PHP;SQL;VBA,31500.0
"Developer, mobile",Primary/elementary school,25,Assembly;Bash/Shell/PowerShell;C;C++;C#;JavaScript;Objective-C;PHP;Python;Swift,76339.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",6,HTML/CSS;JavaScript;TypeScript,64888.0
Senior executive/VP,Some college/university study without earning a degree,14,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL;TypeScript,29316.0
"Developer, embedded applications or devices","Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,Bash/Shell/PowerShell;C;Go;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;SQL;Swift;TypeScript;Other(s):,57254.0
Student,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",8,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Objective-C;SQL;Swift,45803.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Objective-C;SQL,45803.0
"Developer, front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",30,JavaScript;Python;SQL,30535.0
"Engineer, site reliability","Professional degree (JD, MD, etc.)",31,Bash/Shell/PowerShell;Java;JavaScript;Python;SQL;TypeScript,99240.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;C;C++;Python;SQL,72522.0
"Developer, full-stack","Master’s degree (MA, MS, M.Eng., MBA, etc.)",5,HTML/CSS;Java;JavaScript;TypeScript,45803.0
"Developer, back-end",Some college/university study without earning a degree,10,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,45803.0
"Developer, back-end",Associate degree,4,C#;HTML/CSS;JavaScript;PHP;SQL;VBA,27500.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,C;C++;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,45803.0
Database administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",30,C#;HTML/CSS;JavaScript;TypeScript,76339.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",22,Bash/Shell/PowerShell;C;Python,80155.0
"Developer, embedded applications or devices","Bachelor’s degree (BA, BS, B.Eng., etc.)",31,C;C#,105347.0
DevOps specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL,42750.0
"Developer, full-stack","Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL,57254.0
System administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Go;HTML/CSS;Java;JavaScript;PHP;SQL,61071.0
"Developer, back-end",Some college/university study without earning a degree,6,Bash/Shell/PowerShell;Java;Kotlin;Objective-C;PHP;Python;SQL;Swift,49620.0
"Engineer, data","Bachelor’s degree (BA, BS, B.Eng., etc.)",8,Bash/Shell/PowerShell;Python;SQL;Other(s):,67178.0
"Developer, full-stack","Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,C#;HTML/CSS;JavaScript,56490.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Java;SQL;Swift,100767.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,76339.0
"Developer, mobile","Bachelor’s degree (BA, BS, B.Eng., etc.)",16,HTML/CSS;Java;JavaScript;SQL;Swift,76339.0
"Developer, front-end",Some college/university study without earning a degree,5,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Kotlin;Ruby;SQL;Swift;TypeScript,74812.0
"Developer, desktop or enterprise applications",Some college/university study without earning a degree,18,Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;Kotlin;Python;SQL,57254.0
"Engineer, site reliability","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Assembly;Bash/Shell/PowerShell;C++;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;Other(s):,68705.0
Data or business analyst,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,C#;HTML/CSS;JavaScript;SQL;TypeScript,57254.0
"Engineer, data","Master’s degree (MA, MS, M.Eng., MBA, etc.)",9,Bash/Shell/PowerShell;C++;Java;JavaScript;Python;Scala;SQL,122142.0
"Developer, QA or test","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;TypeScript,72522.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,C#;Erlang;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,64888.0
"Developer, game or graphics",Some college/university study without earning a degree,17,Bash/Shell/PowerShell;Clojure;HTML/CSS;JavaScript;Ruby;SQL;Other(s):,61071.0
"Developer, mobile","Master’s degree (MA, MS, M.Eng., MBA, etc.)",3,Objective-C;Ruby;Swift,60307.0
Designer,"Bachelor’s degree (BA, BS, B.Eng., etc.)",15,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,106874.0
"Developer, back-end","Master’s degree (MA, MS, M.Eng., MBA, etc.)",8,C;F#;HTML/CSS;JavaScript;Python;TypeScript;Other(s):,61071.0
System administrator,Some college/university study without earning a degree,11,C#;HTML/CSS;SQL,72522.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,51910.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Assembly;C;C++;Java;Python;SQL,55193.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",4,C#;Java;JavaScript;Kotlin;Python;SQL,64888.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,C++;C#;HTML/CSS;JavaScript,39696.0
"Developer, embedded applications or devices","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;JavaScript,44276.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,C++;C#;HTML/CSS;JavaScript;SQL;TypeScript,56490.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",21,Assembly;C#;HTML/CSS;Python;SQL;Other(s):,35879.0
Designer,"Bachelor’s degree (BA, BS, B.Eng., etc.)",9,C#;VBA,53437.0
"Engineer, site reliability","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",15,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL,95423.0
"Developer, full-stack",Some college/university study without earning a degree,7,C#;HTML/CSS;JavaScript;SQL,48857.0
Designer,"Bachelor’s degree (BA, BS, B.Eng., etc.)",22,Bash/Shell/PowerShell;Java;JavaScript;Objective-C;SQL;Swift;TypeScript,160000.0
"Engineer, site reliability","Bachelor’s degree (BA, BS, B.Eng., etc.)",18,Bash/Shell/PowerShell;C#;HTML/CSS;PHP;SQL;TypeScript;VBA,44276.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Java;SQL,107637.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;Java;JavaScript;Ruby;Swift;TypeScript,56490.0
"Developer, game or graphics",Associate degree,5,HTML/CSS;JavaScript;PHP;TypeScript,30535.0
"Developer, back-end","Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,Java;JavaScript;Kotlin;SQL;Swift,49620.0
System administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL,118325.0
"Engineer, site reliability","Other doctoral degree (Ph.D, Ed.D., etc.)",18,C#;F#;SQL,112218.0
Designer,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;Go;Java;Python,64735.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript,55345.0
"Engineer, site reliability","Bachelor’s degree (BA, BS, B.Eng., etc.)",9,Bash/Shell/PowerShell;C++;Elixir;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;SQL,122142.0
"Developer, full-stack",Associate degree,3,C#;HTML/CSS;JavaScript;PHP;SQL;Other(s):,30535.0
"Developer, back-end",Associate degree,21,C#;HTML/CSS;JavaScript;SQL,82064.0
"Developer, mobile","Master’s degree (MA, MS, M.Eng., MBA, etc.)",22,Bash/Shell/PowerShell;C++;Java;Objective-C,152677.0
"Developer, back-end",Some college/university study without earning a degree,3,C#;Java;JavaScript;TypeScript,34352.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;SQL;Other(s):,57254.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,61071.0
"Developer, front-end",Some college/university study without earning a degree,10,HTML/CSS;JavaScript;PHP;Ruby;TypeScript,62598.0
Data scientist or machine learning specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;JavaScript;Python;SQL,41986.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",16,Bash/Shell/PowerShell;C++;C#;Java;JavaScript;Ruby;SQL,95423.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,C#;HTML/CSS;JavaScript;SQL;TypeScript,59544.0
DevOps specialist,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",21,Bash/Shell/PowerShell;C#;Go;Java;JavaScript;Python;SQL;TypeScript,95423.0
"Developer, full-stack",,2,C#;HTML/CSS;JavaScript;SQL;VBA,49620.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",8,Bash/Shell/PowerShell;C;C++;Python;SQL,68705.0
Engineering manager,,35,Assembly,45804.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",7,HTML/CSS;JavaScript;PHP;Python;SQL,38551.0
"Developer, back-end",Associate degree,12,C#;HTML/CSS;JavaScript;SQL;TypeScript,64888.0
Database administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",35,Python;SQL,128249.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",10,HTML/CSS;Java;JavaScript;PHP;SQL,57254.0
Database administrator,"Other doctoral degree (Ph.D, Ed.D., etc.)",19,Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;JavaScript,209931.0
"Engineer, data","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;TypeScript,50383.0
"Engineer, site reliability",,22,Bash/Shell/PowerShell;Java;JavaScript;Python;Ruby;TypeScript;Other(s):,93133.0
"Developer, game or graphics","Bachelor’s degree (BA, BS, B.Eng., etc.)",1,HTML/CSS;Java;JavaScript;Objective-C;Python;Swift;TypeScript,38169.0
Data or business analyst,"Bachelor’s degree (BA, BS, B.Eng., etc.)",14,C#;Java;SQL;VBA,94660.0
"Developer, mobile","Master’s degree (MA, MS, M.Eng., MBA, etc.)",8,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Objective-C;SQL;Swift,45803.0
"Developer, front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5,HTML/CSS;JavaScript;Ruby;TypeScript,64888.0
"Engineer, data","Master’s degree (MA, MS, M.Eng., MBA, etc.)",5,HTML/CSS;Java;Python;R;Other(s):,61834.0
"Developer, embedded applications or devices",Some college/university study without earning a degree,8,Elixir;HTML/CSS;JavaScript;Python;Ruby;SQL,83972.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Bash/Shell/PowerShell;Go;JavaScript;Ruby;Swift,83972.0
"Developer, back-end",Some college/university study without earning a degree,10,Bash/Shell/PowerShell;C;C#;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,49620.0
Engineering manager,"Bachelor’s degree (BA, BS, B.Eng., etc.)",11,Assembly;C;C++;C#;HTML/CSS;Java;JavaScript;SQL,73285.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",8,C#;HTML/CSS;Java;JavaScript;PHP;SQL,46566.0
System administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,Bash/Shell/PowerShell;C++;Python;SQL,68705.0
"Developer, full-stack","Other doctoral degree (Ph.D, Ed.D., etc.)",14,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;TypeScript,61071.0
System administrator,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,Bash/Shell/PowerShell;C;Go;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;SQL;Swift;TypeScript;Other(s):,57254.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",12,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,114508.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",21,Bash/Shell/PowerShell;Erlang;Go;Java;JavaScript;Python,103057.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;HTML/CSS;Python;Swift;TypeScript,45803.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",11,Java;JavaScript;TypeScript,103057.0
DevOps specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Bash/Shell/PowerShell;C;Python;SQL,87789.0
System administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,C++;Dart;HTML/CSS;JavaScript;SQL,45803.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,51147.0
Engineering manager,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;JavaScript;PHP;Python;SQL,68705.0
"Engineer, data","Master’s degree (MA, MS, M.Eng., MBA, etc.)",4,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;R;SQL,83972.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;SQL;TypeScript,72522.0
"Engineer, data","Bachelor’s degree (BA, BS, B.Eng., etc.)",12,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Rust,106874.0
Product manager,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Bash/Shell/PowerShell;C;C#;HTML/CSS;JavaScript;SQL;TypeScript,67178.0
"Developer, mobile","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;Scala;SQL;TypeScript,64888.0
"Developer, full-stack","Master’s degree (MA, MS, M.Eng., MBA, etc.)",8,HTML/CSS;Java;JavaScript;TypeScript,80155.0
System administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",9,Bash/Shell/PowerShell;C;C#;Python;Other(s):,114508.0
"Developer, back-end","Master’s degree (MA, MS, M.Eng., MBA, etc.)",10,C;Python,99240.0
"Developer, full-stack",Some college/university study without earning a degree,7,Go;HTML/CSS;JavaScript;PHP;TypeScript,80919.0
DevOps specialist,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",21,Assembly;Bash/Shell/PowerShell;C;C++;C#;Clojure;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;Scala;SQL;Swift;TypeScript,91606.0
"Developer, game or graphics","Master’s degree (MA, MS, M.Eng., MBA, etc.)",5,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;Python,53437.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",16,HTML/CSS;Java;JavaScript;SQL;Swift,76339.0
System administrator,Associate degree,12,Assembly;Bash/Shell/PowerShell,68705.0
"Developer, full-stack",Associate degree,15,HTML/CSS;JavaScript;PHP;SQL,69468.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",9,C;C#;Dart;HTML/CSS;JavaScript;Python;SQL,64888.0
Senior executive/VP,Some college/university study without earning a degree,24,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;SQL,87789.0
"Developer, mobile","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;Java;JavaScript,41986.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,57254.0
"Developer, back-end",Some college/university study without earning a degree,8,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript;VBA,82198.0
System administrator,Associate degree,2,Bash/Shell/PowerShell;C;C#;HTML/CSS;JavaScript;SQL;TypeScript,53437.0
"Developer, game or graphics","Bachelor’s degree (BA, BS, B.Eng., etc.)",20,Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Objective-C;Ruby;TypeScript;WebAssembly,83972.0
Engineering manager,Some college/university study without earning a degree,32,C++;C#;HTML/CSS;JavaScript,110691.0
System administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;Python,94000.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,C;HTML/CSS;JavaScript;Python,91606.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;SQL;TypeScript,72522.0
"Developer, back-end",Associate degree,12,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL,67178.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,C#;HTML/CSS;JavaScript;SQL;TypeScript,57254.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL,57254.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",23,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL,141226.0
System administrator,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Ruby,41986.0
DevOps specialist,Associate degree,8,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;TypeScript;Other(s):,83209.0
"Developer, mobile",Associate degree,20,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python,68705.0
System administrator,Associate degree,7,Bash/Shell/PowerShell;C#;Java;SQL;TypeScript;Other(s):,41986.0
Data or business analyst,Some college/university study without earning a degree,3,HTML/CSS;JavaScript;PHP;SQL,51910.0
"Developer, front-end",Some college/university study without earning a degree,22,HTML/CSS;JavaScript,68705.0
Product manager,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,61071.0
"Developer, embedded applications or devices","Master’s degree (MA, MS, M.Eng., MBA, etc.)",21,Assembly;Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;Objective-C;SQL;TypeScript,91606.0
Marketing or sales professional,"Bachelor’s degree (BA, BS, B.Eng., etc.)",11,Bash/Shell/PowerShell;C++;C#;HTML/CSS;Java;JavaScript;TypeScript;Other(s):,100000.0
"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",24,C#;JavaScript;Python;SQL;TypeScript,95423.0
"Developer, mobile","Bachelor’s degree (BA, BS, B.Eng., etc.)",10,C#;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,76339.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;C++;C#;F#;Go;HTML/CSS;Java;JavaScript;PHP;SQL,61071.0
"Developer, back-end",Some college/university study without earning a degree,8,Elixir;HTML/CSS;JavaScript;Python;Ruby;SQL,83972.0
"Developer, back-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",4,C#;HTML/CSS;Python;SQL;TypeScript,53437.0
"Developer, back-end","Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,Bash/Shell/PowerShell;C;Go;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;SQL;Swift;TypeScript;Other(s):,57254.0
"Developer, full-stack",Some college/university study without earning a degree,24,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;SQL,87789.0
"Developer, embedded applications or devices",Some college/university study without earning a degree,7,C#;HTML/CSS;JavaScript;SQL,48857.0
"Developer, desktop or enterprise applications","Bachelor’s degree (BA, BS, B.Eng., etc.)",36,Bash/Shell/PowerShell;C++;C#;Java;Python;R;SQL,93896.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",10,HTML/CSS;Java;JavaScript;SQL,60307.0
"Developer, full-stack","Bachelor’s degree (BA, BS, B.Eng., etc.)",20,C#;SQL,129775.0
"Engineer, site reliability","Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,PHP,57254.0
"Developer, front-end","Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;HTML/CSS;Java;TypeScript,40459.0
"Developer, mobile","Bachelor’s degree (BA, BS, B.Eng., etc.)",14,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;SQL;Swift,125959.0
"Developer, full-stack",Associate degree,10,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL,74048.0
"Engineer, data","Master’s degree (MA, MS, M.Eng., MBA, etc.)",2,Go;HTML/CSS;Java;JavaScript;SQL,59.0
DevOps specialist,"Bachelor’s degree (BA, BS, B.Eng., etc.)",23,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,114508.0
"Developer, game or graphics","Professional degree (JD, MD, etc.)",18,C#;SQL,51147.0
"Developer, desktop or enterprise applications","Master’s degree (MA, MS, M.Eng., MBA, etc.)",19,Bash/Shell/PowerShell;C++;C#;HTML/CSS;PHP;Python,175579.0
